location,date,weather,temperature_celsius,time,ringer,ring_id,ring_recap,tag_id,species,sex,age,tars_mm,wing_mm,8prim_mm,fat,muscle,tail_mm,tail_fork_mm,weight_g,blood,faeces,cloaca,choane,ectoparasites,comments
Quillow,14/05/2019,,,09:47,CL,ZI13702,n,NA,Klappergrasmücke,m,a,21.1,65,NA,2,2,NA,NA,NA,n,n,n,n,Zecke im Schnabelhäutchen,
Falkenhagen Feld 1,14/05/2019,,,12:41,SK ,ZI13703,n,NA,Buchfink,f,a,16.6,82,NA,1,1,NA,NA,21,n,n,n,n,,
Falkenhagen Feld 2,14/05/2019,,,18:46,CL,ZI13704,n,NA,Klappergrasmücke,f,a,19.1,66,NA,3,2,NA,NA,14,n,n,n,n,,
Falkenhagen Feld 2,15/05/2019,,,10:08,SK,VH59001,n,NA,Goldammer,f,a,19.5,83,NA,1,2,NA,NA,29,n,n,n,n,,Brutfleck; K??
Falkenhagen Feld 2,15/05/2019,,,10:08,SK,VH59002,n,NA,Goldammer,m,a,21.5,91,NA,2,2,NA,NA,30,n,n,n,n,,KS??
Falkenhagen Feld 2,15/05/2019,,,11:09,CL,ZI13705,n,NA,Klappergrasmücke,m,a,21.4,74,NA,2,1,NA,NA,15,n,n,n,n,,
Falkenhagen Feld 2,15/05/2019,,,11:50,SK ,PC35847,n,NA,Kohlmeise,m,a,19.5,77,NA,0,2,NA,NA,19,n,n,n,n,,
Biol. Station ZALF,07/05/2019,,,08:30,SK,,n,NA,,,,,,NA,,,,,,,,,,,
Fledermauswald/Holzendorf,13/05/2019,,,16:00,CL,LX7402,n,NA,Zilpzalp,m,a,19.2,61,NA,1,2,NA,NA,9,n,n,n,n,,
Fledermauswald/Holzendorf,13/05/2019,,,16:30,SK,ZI13701,n,NA,Buchfink,f,a,16.2,91,NA,NA,NA,NA,NA,23,n,n,,,,
Straße an der Biol. Station / ZALF,13/05/2019,,,18:56,CL,PC35850,n,NA,Haussperling,f,a,19,77,NA,2,3,NA,NA,30,n,n,n,n,,
Straße an der Biol. Station / ZALF,13/05/2019,,,19:10,SK,PC35849,n,NA,Haussperling,f,a,18.2,78,NA,1,1,NA,NA,30,n,n,n,n,,
Straße an der Biol. Station / ZALF,13/05/2019,,,19:23,SK,PC35848,n,NA,Haussperling,m,a,18.2,78,NA,2,2,NA,NA,31,n,n,n,n,,
Lutz N,23/08/2019,sun,30,16:34,CL,ZI13725,n,2221,RS,m,a,11.2,125,NA,3,2,107,,21,NA,n,NA,NA,3-4 Löcher in den Handschwingen / Milben,ab hier abwärts Sollten Blutprobe haben!!! Wenn auch nicht alle….
Lutz Nix,23/08/2019,sun,30,17:13,CL,ZI13726,n,2175,RS,m,a,11.2,124,NA,4,2,104,NA,21,NA,n,NA,NA,minimaler Milbenbefall / Löcher in inneren Handschwingen,
Lutz Dedelow,24/08/2019,sun,30,09:30,CL,ZI13727,n,NA,RS,f,a,11.8,121,NA,2,1,88,43,18.7,NA,n,n,n,,
Lutz Dedelow,24/08/2019,sun,30,10:00,CL,ZI13728,n,NA,RS,f,a,11.1,123,NA,1,2,102,50,18,n,n,n,n,"Federlinge, Lausfliege",
Lutz Dedelow,24/08/2019,sun,30,10:30,CL,ZI13729,n,2230,RS,m,a,11.3,128,NA,3,2,113,64,20.5,NA,n,n,n,,
Lutz Dedelow,24/08/2019,sun,30,11:00,WU,PC35844,n,NA,Haussperling,m,a,19.3,84,NA,2,2,NA,NA,37,NA,n,n,n,,
Hackbart,24/08/2019,sun,30,17:00,CL,ZI13730,n,2222,RS,f,a,11.3,NA,NA,2,1,90,40,20,NA,n,n,n,keine Parasiten,
Hackbart,24/08/2019,sun,30,17:30,WU,ZI13731,n,NA,RS,m,a,11.1,125,NA,3,2,117,61,17,NA,n,n,n,"Milben, Lausfliege",
Holzendorf (schwanger. 2 Hunde),25/08/2019,sun,30,09:30,CL,ZI13732,n,2219,RS,m,a,9.6,124,NA,2,1,111,66,20,NA,n,n,n,Milben ,
Holztendorf Müller,25/08/2019,sun,30,10:30,CL,ZI13733,n,2227,RS,f,a,11.6,131,NA,4,2,93,41,23,NA,n,n,n,Milben,
Holzendorf Müller,25/08/2019,sun,30,11:00,WU,ZI13734,n,2224,RS,f,a,11,126,NA,2,1,93,45,20,NA,n,n,n,keine Parasiten,
Holzendorf Müller,25/08/2019,sun,30,11:30,CL,ZI13735,n,2192,RS,m,a,11.1,128,NA,2,2,96,45.5,21,NA,n,n,n,Federlinge ,
Holzendorf Müller,25/08/2019,sun,30,11:45,CL,ZI13736,n,NA,RS,m,a,11.2,129,NA,2,2,111.5,66.2,19.5,NA,n,n,n,Milben,
Holzendorf Müller,25/08/2019,sun,30,12:00,CL,ZI13737,n,NA,RS,f,a,11.6,121,NA,2,1,84.4,38.6,19.2,NA,n,n,n,Milben,
Holzendorf Müller,25/08/2019,sun,30,12:18,CL,ZI13738,n,NA,RS,NA,j,11.1,125,NA,3,2,66,27.7,20.2,NA,n,n,n,Milben,
Holzendorf Müller,25/08/2019,sun,30,12:29,CL,ZI13739,n,NA,RS,m,a,11.1,131,NA,2,2,96.9,45.6,18,NA,n,n,n,Milben,
Holzendorf Müller,25/08/2019,sun,30,12:45,CL,ZI13712,n,2183,RS,m,a,11.2,125,NA,2,2,105.4,52.3,19,NA,n,n,n,Milben,
Holzendorf Müller,25/08/2019,sun,30,12:52,CL,ZI13740,n,NA,RS,m,a,11.8,125,NA,1,2,107.9,52.8,18,NA,n,n,n,Milben,
Holzendorf Müller,25/08/2019,sun,30,13:00,CL,ZI13741,n,2180,RS,m,a,11.6,129,NA,2,2,108,65.8,20,NA,n,n,n,Milben,
Holzendorf Müller,25/08/2019,sun,30,13:15,CL,ZI13742,n,NA,RS,m,a,11.3,126,NA,1,2,104,53.6,20,NA,n,n,n,Milben,
Dedelow Mahlzahn,25/08/2019,sun,30,17:00,CL,ZI13743,n,2181,RS,f,a,11,122,NA,3,2,89.3,44.4,22,NA,n,n,n,"Lausfliege, Milben",
Dedelow Mahlzahn,25/08/2019,sun,30,17:30,CL,ZI13744,n,NA,RS,f,a,11.7,122,NA,3,2,94.5,45.9,20,NA,n,n,n,,
Dedelow Mahlzahn,25/08/2019,sun,30,18:00,CL,ZI13745,n,2179,RS,m,a,11,126,NA,3,2,116.1,69.8,21,NA,n,n,n,Milben,
Dedelow Mahlzahn,25/08/2019,sun,30,18:50,WU,ZI13746,n,NA,RS,f,a,11.2,121,NA,2,2,92.4,44.5,18,NA,n,n,n,"Lausfliege, Milben",
Dedelow Mahlzahn,25/08/2019,sun,30,19:30,WU,ZI13747,n,2178,RS,m,a,11.1,131,NA,2,2,107.5,62.2,NA,NA,n,n,n,"Lausfliege, Milben",
Dedelow-MS ,26/08/2019,cloud,23,10:00,CL,ZI13748,n,2182,RS,m,a,11,129,NA,3,2,90.4,44.5,21,NA,n,n,n,"zerzaust, weißliche Belege…Pilz?",
Dedelow-MS,26/08/2019,cloud,23,10:15,CL,ZI13749,n,2177,RS,m,a,11.4,123,NA,3,2,112.6,72.5,21,NA,n,n,n,"zerzaust, weißliche Belege…Pilz?",
Holzendorf,20/05/2019,,,11:13,CL,ZI13706,n,2248,RS,m,a,11.2,122,NA,1,1,NA,NA,20.5,y,n,y,y,,
Holzendorf,20/05/2019,,,11:57,CL,ZI13707,n,NA,RS,f,a,11.4,128,NA,4,2,NA,NA,23,n,n,n,n,,Kurz vorm Legen
Holzendorf,20/05/2019,,,12:10,CL,ZI13708,n,2249,RS,m,a,11.3,125,NA,2,1,NA,NA,20.2,y,n,y,y,,
Holzendorf,20/05/2019,,,12:40,CL,ZI13709,n,2254,RS,m,a,11.5,127,NA,2,2,NA,NA,22.5,y,n,y,y,,
Holzendorf,20/05/2019,,,13:15,CL,ZI13710,n,2251,RS,m,a,11.5,121,NA,3,2,NA,NA,21.5,y,n,y,y,,
Holzendorf,20/05/2019,,,13:46,CL,ZI13711,n,2253,RS,m,a,10.7,131,NA,2,1,NA,NA,21.5,y,n,y,y,,
Holzendorf,20/05/2019,,,14:15,CL,ZI13712,y,2243,RS,m,a,10.8,125,NA,2,1,NA,NA,20,y,n,y,y,,
Holzendorf,20/05/2019,,,14:15,CL,ZI13713,n,NA,RS,f,a,10.9,122,NA,4,2,NA,NA,24,n,n,n,n,,kurz vor Eiablage
Holzendorf,20/05/2019,,,14:15,CL,ZI13714,n,NA,RS,f,a,11.4,126,NA,3,2,NA,NA,25,n,n,n,n,,kurz vor Eiablage
Holzendorf,20/05/2019,,,14:15,CL,ZI13715,n,2244,RS,m,a,10.8,132,NA,2,2,NA,NA,20,n,n,y,y,,
Holzendorf,20/05/2019,,,14:53,CL,ZI13716,n,2243,RS,m,a,11,129,NA,2,1,NA,NA,20.5,y,n,y,y,,
Dedelow (Wo?),21/05/2019,,,15:47,CL,ZI13717,n,2258,RS,m,a,11.7,128,NA,4,1,NA,NA,21,y,n,y,y,,
Dedelow (Wo?),21/05/2019,,,NA,CL,ZI13718,n,2169,RS,m,a,11.2,126,NA,3,2,NA,NA,22.5,y,n,y,y,,
Falkenhagen (wo?),22/05/2019,,,15:15,CL,VH59003,n,2263,MS,m,a,10.8,119,NA,2,2,NA,NA,19,n,n,n,,,
Falkenhagen (18),22/05/2019,,,17:08,CL,ZI13719,n,2264,RS,f,a,10.8,122,NA,3,2,NA,NA,22,y,n,n,n,,
Falkenhagen (6),22/05/2019,,,19:40,CL,ZI13720,n,2239,RS,m,a,11.9,128,NA,3,2,NA,NA,22.2,NA,n,y,y,,
Falkenhagen,23/05/2019,,,10:10,CL,ZI13721,n,2153,RS,f,a,11.7,122,NA,2,2,NA,NA,20,y,n,y,y,Milben,
Falkenhagen,23/05/2019,,,10:28,CL,kein Ring?,n,2114,RS,m,a,11.5,125,NA,2,1,NA,NA,19.5,n,n,y,y,Lausfliege ,
Falkenhagen,23/05/2019,,,11:29,CL,ZI13722,n,NA,RS,f,a,11.5,128,NA,3,1,NA,NA,24,n,n,n,n,NA,
Falkenhagen,23/05/2019,,,11:32,CL,ZI13723,n,2255,RS,m,a,11.3,128,NA,2,1,NA,NA,21,y,n,y,y,NA,
Falkenhagen Kin,23/05/2019,,,12:51,CL,ZI13724,n,NA,RS,m,a,10.6,121,NA,2,2,NA,NA,18,y,n,y,y,Lausfliege,
Falkenhagen,24/05/2019,,,09:40,CL,VH59006,n,2259,MS,m,a,11,113,NA,2,2,NA,NA,17,y,n,y,y,,
Falkenhagen,24/05/2019,,,10:12,CL,VH59007,n,2262,MS,m,a,12.3,115,NA,2,2,NA,NA,20,NA,NA,NA,NA,,
Falkenhagen,24/05/2019,,,10:52,CL,VH59008,n,NA,MS,f,a,11.7,114,NA,3,2,NA,NA,22.5,NA,NA,NA,NA,,
Falkenhagen,24/05/2019,,,11:15,CL,VH59009,n,2125,MS,m,a,11.7,114,NA,2,2,NA,NA,21,NA,NA,NA,NA,,
Dedelow-MS ,26/08/2019,,30,16:45,CL,ZI13750,n,2190,MS,m,a,11.1,111,NA,3,2,65.3,18.7,20,NA,n,NA,NA,,
Dedelow-MS ,26/08/2019,,30,17:15,CL,ZI13751,n,2191,MS,f,a,10.7,117,NA,3,2,68.9,21.4,20,NA,n,NA,NA,,
Dedelow-MS ,26/08/2019,,30,17:50,CL,ZI13752,n,2284,MS,m,a,11,111,NA,3,2,57.6,13.8,19.5,NA,n,NA,NA,,
Dedelow-MS ,26/08/2019,,30,17:50,CL,ZI13753,n,2275,MS,m,a,11.4,108,NA,3,2,64.8,19.4,20,NA,n,NA,NA,,
Dedelow-MS ,01/09/2019,,,08:54,CL,ZI13754,n,2245,MS,m,j,11.9,111,NA,2,2,NA,NA,19,NA,n,NA,NA,,
