location,date,weather,temperature_celsius,time,ringer,ring_id,ring_recap,tag_id,species,sex,age,tars_mm,wing_mm,8prim_mm,fat,muscle,tail_mm,tail_fork_mm,weight_g,blood,faeces,cloaca,choane,feather,ectoparasites,comments
Dedelow-MS,26/05/2022,,,10:50:00,MG,VH59051,y,,MS,f,a,11.4,111,85,2,2,,,20.6,y,n,y,y,y,LF,
Dedelow-MS,26/05/2022,,,10:52:00,CL,VH80502,n,,MS,m?,a,11.3,114,88,3,2,,,20,n,y,n,n,y,LF,
Dedelow-MS,26/05/2022,,,11:05:00,MG,VH80351,y,,MS,m,a,11.4,110,87,2,2,,,17.5,y,n,y,y,y,,
Dedelow-MS,26/05/2022,,,11:06:00,CL,VH80503,n,,MS,m,a,11.4,114,86,2,1,,,17.7,y,y,n,n,n,,viel Blutverlust
Dedelow-MS,26/05/2022,,,11:18:00,MG,VH80504,n,2695,MS,?,a,10.3,112,86,3,1,,,20.4,y,y,y,y,y,LF,
Dedelow-MS,26/05/2022,,,11:21:00,CL,VH80505,n,,MS,m?,a,11.2,114,88,3,1,,,18.6,y,y,n,n,y,,
Dedelow-MS,26/05/2022,,,11:31:00,CL,VH80373,y,,MS,m,a,11.6,111,84,2,2,,,18.6,y,y,y,y,y,,
Dedelow-MS,26/05/2022,,,11:45:00,MG,VH80502,y,,,,,,,,,,,,,,,,,,,
Dedelow-MS,26/05/2022,,,11:45:00,MG,VH80450,y,2696,MS,f,a,12.6,114,88,2,1,,,21.4,y,y,y,y,y,,
Dedelow-MS,26/05/2022,,,11:45:00,CL,VH80506,n,2698,MS,m,a,11.7,114,87,2,2,,,19.6,y,,y,y,y,,
Dedelow-MS,26/05/2022,,,11:56:00,CL,VH80503,y,,,,,,,,,,,,,,,,,,,broken feet/ringed left
Dedelow-MS,26/05/2022,,,11:57:00,CL,VH80507,n,,MS,m,a,10.6,119,82,3,2,,,18.5,,,,,,,
Dedelow-MS,26/05/2022,,,11:59:00,CS,ZI13757,y,,MS,f?,a,12,113,86,2,1,,,18.8,y,,y,y,n,,wenig Blut
Dedelow-MS,26/05/2022,,,12:09:00,CL,VH80508,n,,MS,m,a,11,114,89,2,2,,,18.1,n,n,n,n,n,,
Dedelow-MS,26/05/2022,,,12:10:00,MG,VH80509,n,,MS,m,a,11.1,109,87,3,2,,,19.3,y,y,y,y,n,LF,
Dedelow-MS,26/05/2022,,,12:25:00,CS,VH80510,n,,MS,f?,a,11.3,111,84,3,2,,,21.4,y,y,y,y,y,,
Dedelow-MS,26/05/2022,,,12:30:00,CL,VH80368,y,,MS,f,a,11.5,111,84,4,3,,,19.6,y,y,y,y,y,,
Dedelow-MS,26/05/2022,,,12:38:00,MG,VH80511,n,,MS,f,a,11.3,110,87,2,2,,,18.3,n,,y,y,y,,no blood sample possible
Dedelow-MS,26/05/2022,,,12:39:00,CL,VH59047,y,,MS,f,a,11.2,112,85,2,2,,,20.1,y,y,y,y,y,,wenig Blut
Dedelow-MS,26/05/2022,,,12:47:00,CL,VH80512,n,,MS,m,a,11.1,112,86,1,1,,,17.4,n,y,n,n,n,LF,
