location,date,weather,temperature_celsius,time,ringer,ring_id,ring_recap,tag_id,species,sex,age,tars_mm,wing_mm,8prim_mm,fat,muscle,tail_mm,tail_fork_mm,weight_g,blood,faeces,cloaca,feather,choane,ectoparasites,comments
Dedelow-MS,23/05/2023,sun,22,09:50:00,MG,VH80502,y,,MS,m?,a,11.1,117,90,1,1,,,19.7,y,n,y,y,y,,
Wiebke,23/05/2023,sun,22,10:00:00,MG,VH80545,y,,MS,?,a,10.7,116,83,2,2,,,17.4,y,y,y,n,y,,
Dedelow-MS,23/05/2023,sun,22,10:05:00,MG,VH80554,,2884,MS,m?,a,11.5,115,90,3,2,,,20.2,y,n,n,y,y,,
Dedelow-MS,23/05/2023,sun,22,10:14:00,MG,VH80555,,,MS,m?,a,10.7,117,85,1,1,,,17.2,y,n,n,n,n,LF,
Dedelow-MS,23/05/2023,sun,22,10:20:00,MG,VH80556,,,MS,m?,a,11.3,110,82,2,2,,,19.1,n,y,n,n,n,,
Dedelow-MS,23/05/2023,sun,22,10:24:00,MG,VH80557,,,MS,f,a,11.5,115,91,3,2,,,18.8,y,y,y,y,y,,wenig Blut
Dedelow-MS,23/05/2023,sun,22,10:30:00,M ,VH80525,y,2869,MS,f,a,11.6,115,90,2,2,,,20.3,y,n,y,y,y,,Nest bekannt
Dedelow-MS,23/05/2023,sun,22,10:37:00,MG,VH80363,y,,MS,f,a,11.5,109,85,2,2,,,18.5,y,y,y,y,y,,
Dedelow-MS,23/05/2023,sun,22,10:42:00,MG,VH80558,,,MS,f'?,a,10.7,109,85,2,2,,,18.9,y,y,y,y,y,,
Dedelow-MS,23/05/2023,sun,22,10:50:00,E,VH80559,,,MS,f,a,11,119,90,2,2,,,19.3,y,y,y,n,y,LF,
Dedelow-MS,23/05/2023,sun,22,10:53:00,MG,VH80560,,,MS,?,a,11.8,110,85,2,2,,,19.9,n,y,n,n,y,LF,
Dedelow-MS,23/05/2023,sun,22,11:00:00,E,VH80561,,,MS,?,a,13.6,111,83,1,0,,,,n,y,n,n,n,LF,ist weggeflogen
Dedelow-MS,23/05/2023,sun,22,11:03:00,MG,VH805562,,,MS,f,a,11,111,89,3,2,,,19.5,y,y,y,y,y,LF,
Dedelow-MS,23/05/2023,sun,22,11:06:00,E,VH805563,,,MS,f,a,11.6,116,85,3,1,,,20.2,y,y,y,y,y,,
Dedelow-MS,23/05/2023,sun,22,11:09:00,MG,VH80559,y,,MS,,a,,,,,,,,,,,,,,,recatch
Dedelow-MS,23/05/2023,sun,22,11:10:00,MG,VH80423,y,,MS,m?,a,11.9,117,90,2,2,,,18.6,y,y,y,y,y,,dead
Dedelow-MS,23/05/2023,sun,22,11:24:00,J,VH80564,,,MS,?,a,12.5,114,84,1,1,,,19.7,y,y,y,y,y,LF,
Dedelow-MS,23/05/2023,sun,22,11:30:00,MG,VH80565,,2956,MS,f?,a,11.9,113,89,1,1,,,20.2,y,y,y,y,n,,
Dedelow-MS,23/05/2023,sun,22,11:31:00,U,VH80566,,,MS,?,a,13,113,87,2,1,,,19.7,y,y,y,n,y,,
Dedelow-MS,23/05/2023,sun,22,11:45:00,MG,VH80567,,,MS,f?,a,11.5,110,86,1,1,,,18.2,y,n,y,n,y,,
Dedelow-MS,23/05/2023,sun,22,11:50:00,U,VH80568,,,MS,m?,a,11.5,110,83,0,2,,,17.9,y,y,y,n,y,LF,
Dedelow-MS,23/05/2023,sun,22,11:55:00,MG,VH80507,y,,MS,m?,a,11.3,106,85,3,2,,,18.9,y,y,y,n,y,,
Dedelow-MS,23/05/2023,sun,22,12:00:00,MG,VH80569,,2973,MS,f,a,11.4,112,88,1,2,,,20.6,y,y,y,n,y,,
Dedelow-MS,23/05/2023,sun,22,12:00:00,U,VH80570,,,MS,?,a,11.4,110,89,2,0,,,19.6,y,y,y,n,y,,
Dedelow-MS,23/05/2023,sun,22,12:03:00,MG,VH80571,,,MS,m,a,11.7,110,87,2,2,,,16.5,y,y,n,n,n,,
Dedelow-MS,23/05/2023,sun,22,12:05:00,MG,VH80572,,,MS,m?,a,11.3,111,89,1,2,,,17.6,y,y,n,n,n,,
Dedelow-MS,23/05/2023,sun,22,12:07:00,U,VH80574,,2892,MS,m?,a,11,109,84,1,2,,,20,y,y,y,y,y,,
Dedelow-MS,23/05/2023,sun,22,12:10:00,MG,VH80573,,,MS,f,a,11,115,90,2,2,,,17.1,n,y,n,n,n,,
Dedelow-MS,23/05/2023,sun,22,12:25:00,MG,VH80575,,,MS,m,a,11.8,110,87,1,0,,,19.7,y,y,y,n,y,LF++,
Dedelow-MS,23/05/2023,sun,22,12:25:00,U,VH80561,y,2967,MS,,a,,,,,,,,20.2,y,n,y,y,y,,wurde gefangen war aber weggeflogen
Dedelow-MS,23/05/2023,sun,22,12:30:00,MG,VH80576,,2870,MS,f?,a,11.3,110,86,1,1,,,20.4,y,n,y,y,y,,
Dedelow-MS,23/05/2023,sun,22,12:35:00,U,VH80528,y,,MS,?,a,13,108,82,3,2,,,21.5,n,y,y,n,y,,pregnant
Dedelow-MS,23/05/2023,sun,22,12:40:00,MG,VH80577,,,MS,f,a,10.6,111,84,4,2,,,22,y,y,n,n,n,LF,pregnant
Dedelow-MS,23/05/2023,sun,22,12:45:00,U,VH80502,y,,MS,?,a,,,,,,,,19.5,n,y,n,n,n,,
Wiebke,23/05/2023,sun,22,12:50:00,U,VH80468,y,,RS,?,a,10.6,124,95,0,1,,,20.6,n,n,y,n,y,,Rauchschwalbe mit falschem Ring
Dedelow-MS,23/05/2023,sun,22,12:52:00,MG,VH80578,,,MS,m?,a,11.6,117,90,1,1,,,19.1,y,y,n,n,n,,
