date,ring_id,amount Blood,extr_date,comments,tubelid number,plasmodium,haemoproteus,leucocytozoon
25/05/2021,LX7407,30,07/04/2022,,18,n,n,n
,,,,,,,,
26/05/2021,NA213619,40,06/04/2022,,2,n,y,NA
01/06/2021,NA213628,50,06/04/2022,,10,n,weak,n
01/06/2021,NA213629,40,07/04/2022,,19,n,y,NA
01/06/2021,NA213630,40,06/04/2022,,3,n,double,NA
06/06/2021,NA213638,50,06/04/2022,,7,n,n,n
08/06/2021,NA213622,40,06/04/2022,,3,y,n,y
26/05/2021,NA213620,40,07/04/2022,check ID (too long),3,n,n,n
27/05/2021,NA213621,40,06/04/2022,check ID (too long),20,n,n,n
27/05/2021,NA213621,30,07/04/2022,check ID (too long),5,n,n,n
,,,,,,,,
27/05/2021,VH59018,30,06/04/2022,,2,n,weak,n
07/06/2021,VH59051,40,07/04/2022,,12,n,weak,n
26/05/2021,VH59057,30,07/04/2022,,14,y,y,n
26/05/2021,VH59077,30,06/04/2022,,6,n,n,n
07/06/2021,VH59094,40µl,05/04/2022,probably recap (check),12,n,n,n
,,,,,,,,
25/05/2021,VH80306,40,06/04/2022,,8,y,n,n
25/05/2021,VH80323,30,07/04/2022,,2,n,n,n
25/05/2021,VH80325,40µl,05/04/2022,,2,n,y,n
NA,VH80327,40,06/04/2022,check date,11,n,weak,y
25/05/2021,VH80328,30,05/04/2022,,9,n,y,n
25/05/2021,VH80337,40,07/04/2022,,5,n,n,n
08/06/2021,VH80337,40,07/04/2022,,7,n,n,n
25/05/2021,VH80339,30,07/04/2022,,16,n,y,n
26/05/2021,VH80339,,,,17,n,y,n
25/05/2021,VH80340,40,06/04/2022,check number,1,n,n,n
26/05/2021,VH80347,40,07/04/2022,Filter verklebt,11,n,y,n
07/06/2021,VH80349,30,07/04/2022,,6,n,weak,n
26/05/2021,VH80351,40µl,05/04/2022,,6,n,y,n
07/06/2021,VH80357,40,06/04/2022,,9,n,weak,n
26/05/2021,VH80359,30,06/04/2022,,10,n,n,n
07/06/2021,VH80361,40,06/04/2022,Filter verklebt,5,y,n,n
26/05/2021,VH80364,40,05/04/2022,,8,n,y,n
26/05/2021,VH80366,30,06/04/2022,,12,n,n,n
26/05/2021,VH80371,30,07/04/2022,,9,n,y,n
26/05/2021,VH80378,30l,05/04/2022,,3,y,n,n
06/07/2021,VH80382,40,06/04/2022,Filter verklebt,11,y,n,n
27/05/2021,VH80399,40µl,05/04/2022,,4,n,double,n
,,,,,,,,
06/07/2021,VH80409,40,06/04/2022,,4,n,double,n
26/05/2021,VH80413,30,07/04/2022,,4,n,n,n
26/05/2021,VH80414,30,06/04/2022,,9,n,n,n
07/06/2021,VH80423,40,05/04/2022,"check ""2"" in 423; Filter verklebt",7,y,n,n
26/05/2021,VH80426,30,06/04/2022,,8,y,n,n
27/05/2021,VH80428,40,07/04/2022,,8,n,n,n
27/05/2021,VH80430,40,06/04/2022,,7,n,weak,n
06/07/2021,VH80454,40µl,05/04/2022,Filter verklebt,1,y,n,n
07/06/2021,VH80459,40,06/04/2022,,12,n,weak,n
06/07/2021,VH80465,40,07/04/2022,,10,n,weak,n
07/06/2021,VH80467,30,05/04/2022,,11,n,y,n
07/06/2021,VH80469,40,07/04/2022,,1,n,weak,n
07/06/2021,VH80470,40,06/04/2022,,4,n,weak,n
08/06/2021,VH80478,40,05/04/2022,,10,y,n,n
08/06/2021,VH80487,40,07/04/2022,Filter verklebt,15,n,n,y
08/06/2021,VH80498,30µl,05/04/2022,,5,y,n,n
,,,,,,,,
06/07/2021,ZI13623,40µl,06/04/2022,,1,y,n,n
08/06/2021,ZI13651,40,07/04/2022,,13,n,weak,n
,,,,,,,,
26/05/2021,VH59070,,,,,n,y,y
25/05/2021,VH80335,,,,,n,n,n
26/05/2021,VH80360,,,,,y,n,n
07/06/2021,VH80462,,,,,n,y,n
08/06/2021,VH80479,,,,,n,n,y
26/05/2021,ZI13617,,,,,n,n,n
07/06/2021,ZI13762,,,,,n,n,n
