ring_id,date,extract_date,plasmodium ,haemoproteus,leucocytozoon,
LX7405,,04.07.2022,n,n,n,
,,,,,,
NA213618,13.05.2022,26.07.2022,n,n,n,
NA213629,09.05.2022,26.07.2022,n,y,n,
NA213664,10.05.2022,26.07.2022,n,y,n,
NA213665,05.05.2022,26.07.2022,n,n,n,
NA213666,NA,27.07.2022,n,n,n,
NA213667,05.05.2022,26.07.2022,n,n,n,
NA213668,05.05.2022,26.07.2022,n,n,n,
NA213669,06.05.2022,26.07.2022,n,y,n,
NA213670,06.05.2022,26.07.2022,n,y,n,
NA213671,09.05.2022,26.07.2022,n,n,n,
NA213672,09.05.2022,26.07.2022,n,n,n,
NA213673,09.05.2022,26.07.2022,n,n,n,
NA213674,10.05.2022,26.07.2022,n,y,n,
NA213675,10.05.2022,26.07.2022,n,y,n,
NA213676,11.05.2022,26.07.2022,n,n,n,
NA213677,12.05.2022,27.07.2022,n,n,n,
NA213678,12.05.2022,26.07.2022,n,y,n,
NA213679,12.05.2022,27.07.2022,n,y,n,
NA213680,13.05.2022,27.07.2022,n,n,n,
NA213681,NA213681,27.07.2022,n,n,n,
NA213682,17.05.2022,27.07.2022,n,n,n,
NA213683,17.05.2022,26.07.2022,n,n,n,
NA213684,17.05.2022,26.07.2022,n,n,n,
,,,,,,
NA213687,17.05.2022,27.07.2022,n,n,n,
NA213688,17.05.2022,27.07.2022,n,n,n,
NA213689,NA213689,27.07.2022,n,n,n,
NA213690,17.05.2022,27.07.2022,n,n,n,
NA213690,17.05.2022,27.07.2022,n,n,n,
NA213692,17.05.2022,27.07.2022,n,n,n,
NA213693,17.05.2022,26.07.2022,n,n,n,
NA213694,17.05.2022,27.07.2022,n,n,n,
NA213695,17.05.2022,27.07.2022,n,n,n,
NA213696,17.05.2022,27.07.2022,n,n,n,
NA213697,17.05.2022,27.07.2022,n,n,n,
NA213698,17.05.2022,27.07.2022,n,n,n,
NA213700,18.05.2022,27.07.2022,n,n,n,
,,,,,,
NA247101,18.05.2022,27.07.2022,n,n,n,
NA247102,18.05.2022,27.07.2022,n,n,n,
NA247103,18.05.2022,27.07.2022,n,n,n,
NA247104,18.05.2022,27.07.2022,n,n,n,
NA247105,18.05.2022,27.07.2022,n,n,n,
NA247106,18.05.2022,27.07.2022,n,n,n,
NA247107,18.05.2022,27.07.2022,n,n,n,
NA247108,18.05.2022,27.07.2022,n,n,n,
NA247109,18.05.2022,27.07.2022,n,n,n,
NA247110,18.05.2022,27.07.2022,n,n,n,
NA247111,18.05.2022,27.07.2022,n,n,n,
,,,,,,
NA247112,18.05.2022,27.07.2022,n,n,n,
NA247113,18.05.2022,27.07.2022,n,n,n,
NA247114,18.05.2022,27.07.2022,n,n,n,
NA247115,18.05.2022,27.07.2022,n,n,n,
NA247116,18.05.2022,27.07.2022,n,n,n,
NA247117,18.05.2022,27.07.2022,n,n,n,
NA247118,18.05.2022,27.07.2022,n,n,n,
NA247119,18.05.2022,27.07.2022,n,n,n,
NA247120,18.05.2022,27.07.2022,n,n,n,
NA247121,18.05.2022,27.07.2022,n,n,n,
NA247122,18.05.2022,27.07.2022,n,n,n,
NA247123,18.05.2022,27.07.2022,n,n,n,
NA247124,18.05.2022,27.07.2022,n,n,n,
NA247125,18.05.2022,27.07.2022,n,n,n,
NA247126,18.05.2022,27.07.2022,n,n,n,
NA247127,18.05.2022,27.07.2022,n,n,n,
NA247128,18.05.2022,27.07.2022,n,n,n,
NA247130,18.05.2022,27.07.2022,n,n,n,
NA247131,08.06.2022,06.07.2022,n,y,n,
NA247132,,04.07.2022,n,n,n,
NA247132,,04.07.2022,n,n,n,
NA247133,17.06.2022,06.07.2022,n,n,n,
NA247134,17.06.2022,07.07.2022,n,n,n,
NA247135,17.06.2022,06.07.2022,n,n,n,
,,,,,,
NA247136,17.06.2022,06.07.2022,n,n,n,
NA247137,17.06.2022,06.07.2022,n,n,n,
NA247138,24.06.2022,07.07.2022,n,n,n,
,,,,,,
VH59047,26.05.2022,27.07.2022,n,n,n,
VH59048,,04.07.2022,y,n,n,
VH59051,26.05.2022,04.07.2022,n,n,n,
VH59059,,04.07.2022,n,n,n,
VH59068,26.05.2022,04.07.2022,n,y,n,
VH59070,26.05.2022,07.07.2022,n,double,n,
VH59071,26.05.2022,06.07.2022,n,n,n,
VH59077,26.05.2022,07.07.2022,y,n,n,
VH59090,27.05.2022,04.07.2022,n,n,n,
VH59097,09.06.2022,26.07.2022,n,y,n,
VH59100,26.05.2022,27.07.2022,y,n,n,
VH59100,09.06.2022,27.07.2022,y,n,n,
,,,,,,
VH80309,10.06.2022,26.07.2022,n,n,n,
VH80310,27.05.2022,04.07.2022,n,n,n,
VH80311,,04.07.2022,n,n,n,
VH80315,27.05.2022,04.07.2022,n,n,n,
VH80321,27.05.2022,04.07.2022,double,n,n,
VH80326,27.05.2022,04.07.2022,double,n,n,
VH80327,27.05.2022,06.07.2022,n,n,y,keine wobblebasen
VH80330,27.05.2022,05.07.2022,n,n,n,
VH80334,27.05.2022,04.07.2022,n,n,n,
,,,,,,
VH80336,27.05.2022,06.07.2022,n,n,n,
VH80338,10.06.2022,07.07.2022,n,n,n,
VH80347,26.05.2022,26.07.2022,y,n,n,
VH80350,09.06.2022,26.07.2022,n,n,n,
VH80351,26.05.2022,07.07.2022,y,n,n,
VH80354,09.06.2022,27.07.2022,n,y,n,
VH80359,26.05.2022,05.07.2022,n,n,n,
VH80359,09.06.2022,27.07.2022,n,n,n,
VH80363,26.05.2022,07.07.2022,y,y,n,
VH80368,26.05.2022,05.07.2022,double,y,n,
VH80373,26.05.2022,07.07.2022,n,double,n,
VH80378,26.05.2022,07.07.2022,y,n,n,
VH80381,09.06.2022,26.07.2022,n,y,n,
VH80404,26.05.2022,07.07.2022,n,n,n,
VH80413,,04.07.2022,n,n,n,
VH80422,09.06.2022,26.07.2022,double,n,n,
VH80423,26.05.2022,26.07.2022,n,double,n,
VH80427,09.06.2022,26.07.2022,y,n,n,
VH80445,26.05.2022,26.07.2022,n,n,n,
VH80450,26.05.2022,07.07.2022,y,n,n,
VH80454,,04.07.2022,n,n,n,
VH80456,09.06.2022,27.07.2022,n,n,n,
VH80457,26.05.2022,06.07.2022,n,n,n,
VH80461,09.06.2022,27.07.2022,n,n,n,
VH80464,09.06.2022,07.07.2022,n,y,n,
VH80466,,04.07.2022,n,n,n,
VH80475,10.06.2022,26.07.2022,n,n,n,
VH80477,,04.07.2022,n,n,n,
VH80493,,04.07.2022,n,n,n,
VH80503,26.05.2022,07.07.2022,n,y,y,1 wobblebase
VH80504,26.05.2022,04.07.2022,n,y,n,
VH80505,26.05.2022,27.07.2022,n,n,n,
VH80505,09.06.2022,26.07.2022,n,n,n,
VH80506,26.05.2022,07.07.2022,n,y,n,
VH80509,26.05.2022,07.07.2022,y,n,n,
VH80510,26.05.2022,04.07.2022,n,n,n,
VH80511,09.06.2022,27.07.2022,n,n,n,
VH80512,26.05.2022,07.07.2022,n,y,n,
VH80513,26.05.2022,27.07.2022,n,n,n,
VH80514,26.05.2022,06.07.2022,n,y,y,keine wobblebasen
VH80515,26.05.2022,06.07.2022,n,y,y,keine wobblebasen
VH80516,26.05.2022,07.07.2022,n,n,n,
VH80517,26.05.2022,06.07.2022,n,n,n,
VH80518,26.05.2022,06.07.2022,y,n,n,
VH80520,26.05.2022,07.07.2022,n,y,n,
,,,,,,
VH80521,,04.07.2022,y,n,n,
VH80523,26.05.2022,27.07.2022,n,n,n,
VH80525,26.05.2022,27.07.2022,y,n,n,
VH80526,26.05.2022,07.07.2022,n,y,n,
VH80527,09.06.2022,26.07.2022,n,n,y,keine wobblebasen
VH80528,,04.07.2022,n,n,n,
VH80529,09.06.2022,26.07.2022,n,n,n,
VH80530,09.06.2022,26.07.2022,double,n,n,
VH80531,09.06.2022,07.07.2022,n,y,n,
VH80534,09.06.2022,27.07.2022,n,n,n,
VH80536,09.06.2022,27.07.2022,n,y,n,
VH80538,09.06.2022,27.07.2022,n,n,n,
VH80539,09.06.2022,27.07.2022,y,y,y,keine wobblebasen
VH80540,,04.07.2022,n,y,n,
VH80541,,04.07.2022,n,y,n,
VH80542,09.06.2022,27.07.2022,n,n,n,
VH80543,09.06.2022,27.07.2022,n,n,n,
VH80545,09.06.2022,26.07.2022,n,n,n,
VH80547,09.06.2022,27.07.2022,n,n,y,keine wobblebasen
VH80553,09.06.2022,26.07.2022,n,y,n,
,,,,,,
ZI2264,,04.07.2022,n,n,n,
ZI13624,26.05.2022,26.07.2022,n,y,n,
ZI13629,10.06.2022,07.07.2022,y,n,n,
ZI13632,27.05.2022,06.07.2022,y,n,n,
,,,,,,
ZI13633,10.06.2022,27.07.2022,n,n,n,
ZI13647,,04.07.2022,n,n,n,
ZI13648,27.05.2022,05.07.2022,n,n,n,
ZI13651,27.05.2022,06.07.2022,n,y,n,
ZI13660,27.05.2022,07.07.2022,y,n,n,
ZI13672,10.06.2022,27.07.2022,n,n,n,
ZI13676,27.05.2022,05.07.2022,n,y,y,keine wobblebasen
ZI13679,27.05.2022,05.07.2022,y,n,n,
ZI13690,27.05.2022,06.07.2022,y,n,n,
ZI13694,27.05.2022,06.07.2022,y,n,y,2 wobblebasen
ZI13696,27.05.2022,04.07.2022,y,n,n,
ZI13757,26.05.2022,26.07.2022,n,n,n,
,,,,,,
ZK22373,10.06.2022,27.07.2022,n,n,n,
ZK22601,,04.07.2022,n,n,n,
ZK22603,27.05.2022,04.07.2022,double,n,y,keine wobblebasen
ZK22604,27.05.2022,04.07.2022,n,n,n,
ZK22610,,04.07.2022,n,n,n,
ZK22611,27.05.2022,05.07.2022,n,n,n,
ZK22612,10.06.2022,07.07.2022,n,n,n,
ZK22613,,04.07.2022,n,n,n,
ZK22614,27.05.2022,07.07.2022,n,n,n,
ZK22615,10.06.2022,07.07.2022,n,n,n,
ZK22616,10.06.2022,07.07.2022,n,n,n,
ZK22617,,04.07.2022,y,n,n,
ZK22619,27.05.2022,04.07.2022,y,n,n,
ZK22621,,04.07.2022,n,n,n,
ZK22623,27.05.2022,04.07.2022,y,n,y,keine wobblebasen
ZK22625,10.06.2022,27.07.2022,n,n,n,
ZK22626,27.05.2022,05.07.2022,n,n,y,keine wobblebasen
ZK22628,27.05.2022,07.07.2022,y,n,n,
ZK22630,27.05.2022,07.07.2022,n,n,n,
ZK22631,27.05.2022,05.07.2022,y,n,n,
ZK22632,27.05.2022,05.07.2022,n,n,n,
ZK22633,27.05.2022,07.07.2022,y,n,n,
ZK22634,10.06.2022,27.07.2022,y,n,n,
ZK22636,27.05.2022,04.07.2022,n,n,n,
ZK22636,27.05.2022,05.07.2022,n,n,n,
ZK22639,27.05.2022,05.07.2022,n,n,n,
ZK22641,27.05.2022,05.07.2022,n,n,n,
ZK22642,27.05.2022,04.07.2022,n,n,n,
ZK22644,27.05.2022,05.07.2022,n,n,n,
ZK22645,27.05.2022,04.07.2022,n,n,y,keine wobblebasen
ZK22647,27.05.2022,06.07.2022,n,n,n,
ZK22649,27.05.2022,05.07.2022,n,n,n,
ZK22650,27.05.2022,05.07.2022,n,n,n,
ZK22651,,04.07.2022,n,n,n,
ZK22652,27.05.2022,05.07.2022,n,n,n,
ZK22659,09.06.2022,26.07.2022,n,n,n,
,,,,,,
ZK22660,09.06.2022,07.07.2022,y,n,n,
ZK22661,09.06.2022,26.07.2022,n,n,n,
ZK22662,09.06.2022,27.07.2022,n,n,n,
ZK22663,09.06.2022,26.07.2022,y,n,n,
ZK22665,10.06.2022,27.07.2022,n,n,n,
ZK22666,10.06.2022,26.07.2022,n,n,n,
ZK22669,10.06.2022,26.07.2022,n,n,n,
ZK22670,10.06.2022,07.07.2022,n,n,n,
ZK22674,10.06.2022,07.07.2022,n,n,n,
ZK22675,10.06.2022,26.07.2022,n,n,n,
ZK22676,10.06.2022,07.07.2022,y,n,n,
ZK22677,10.06.2022,26.07.2022,n,n,n,
ZK22678,10.06.2022,26.07.2022,y,n,y,keine wobblebasen
ZK22680,10.06.2022,26.07.2022,y,n,n,
ZK22681,10.06.2022,26.07.2022,n,n,n,
ZK22683,10.06.2022,26.07.2022,n,n,n,
ZK22684,10.06.2022,26.07.2022,n,n,n,
ZK22685,10.06.2022,26.07.2022,n,n,n,
ZK22688,10.06.2022,26.07.2022,n,n,n,
ZK22689,10.06.2022,07.07.2022,n,n,n,
ZK22691,10.06.2022,27.07.2022,n,n,n,
ZK22692,10.06.2022,27.07.2022,n,n,n,
ZK22693,10.06.2022,26.07.2022,n,n,n,
ZK22694,10.06.2022,27.07.2022,n,n,n,
ZK22695,10.06.2022,27.07.2022,n,n,n,
ZK22698,10.06.2022,07.07.2022,y,n,n,
ZK22700,10.06.2022,07.07.2022,n,n,n,
ZK22703,10.06.2022,26.07.2022,n,n,n,
ZK22705,10.06.2022,26.07.2022,n,n,n,
NA ,NA,NA,n,y,n,
