ring_id,date,extract_date,plasmodium ,haemoproteus,leucocytozoon
2874,24.05.2023,21.06.2023,n,n,n
LX7405,24.05.2023,29.06.2023,n,n,n
NA#1,NA,29.06.2023,n,n,n
NA#2,NA,30.06.2023,n,y,n
NA#3,NA,30.06.2023,n,n,n
NA247139,NA,23.06.2023,n,n,n
NA247140,NA,23.06.2023,n,n,n
NA247141,NA,23.06.2023,n,n,n
NA247142,NA,30.06.2023,n,n,n
NA247143,NA,30.06.2023,n,n,n
NA247144,NA,30.06.2023,n,n,n
NA247145,06.05.2023,23.06.2023,n,n,n
NA247146,NA,23.06.2023,n,n,n
NA247147,07.05.2023,30.06.2023,n,y,NA
NA247148,07.05.2023,30.06.2023,y,n,n
NA247167,22.05.2023,30.06.2023,n,n,n
NA247168,24.05.2023,23.06.2023,n,n,n
NA247182,06.06.2023,30.06.2023,n,n,n
NA247183,07.06.2023,30.06.2023,n,n,n
NA247184,NA,30.06.2023,n,n,n
NA247185,08.06.2023,30.06.2023,n,n,n
NA247186,08.06.2023,30.06.2023,n,n,n
NA247187,NA,30.06.2023,n,n,n
NA247188,NA,30.06.2023,n,n,n
,,,,,
,,,,,
NA247189,NA,30.06.2023,n,n,n
NA247190,NA,30.06.2023,n,n,n
NA247197,NA,23.06.2023,n,n,n
VH59059,24.05.2023,22.06.2023,n,n,n
VH59071,06.06.2023,20.06.2023,n,n,n
VH59096,06.06.2023,20.06.2023,n,n,n
VH80313,24.05.2023,30.06.2023,n,n,n
VH80327,07.06.2023,20.06.2023,n,n,n
VH80335,24.05.2023,22.06.2023,NA,NA,y
VH80354,23.05.2023,22.06.2023,n,n,n
VH80363,23.05.2023,22.06.2023,n,n,n
VH80378,06.06.2023,20.06.2023,NA,NA,n
VH80381,24.05.2023,22.06.2023,n,n,n
VH80423,23.05.2023,21.06.2023,n,n,n
VH80427,06.06.2023,20.06.2023,n,n,n
VH80459,24.05.2023,29.06.2023,n,n,n
VH80466,06.06.2023,20.06.2023,n,n,n
VH80469,06.06.2023,20.06.2023,n,n,n
VH80471,24.05.2023,30.06.2023,n,n,n
VH80477,07.06.2023,21.06.2023,n,n,n
VH80479,24.05.2023,22.06.2023,n,n,n
VH80481,07.06.2023,20.06.2023,y,n,n
VH80501,23.05.2023,22.06.2023,n,n,n
VH80502,23.05.2023,22.06.2023,NA,NA,n
,,,,,
,,,,,
VH80505,06.06.2023,20.06.2023,n,n,n
VH80507,23.05.2023,21.06.2023,n,n,n
VH80508,06.06.2023,20.06.2023,n,n,n
VH80508,23.05.2023,21.06.2023,n,n,n
VH80509,23.05.2023,22.06.2023,n,n,n
VH80512,23.05.2023,21.06.2023,n,n,n
VH80517,06.06.2023,20.06.2023,n,n,n
VH80521,06.06.2023,20.06.2023,n,n,n
VH80525,23.05.2023,22.06.2023,n,n,n
VH80528,23.05.2023,21.06.2023,n,n,n
VH80532,23.05.2023,21.06.2023,y,n,n
VH80544,23.05.2023,21.06.2023,n,n,n
VH80544,27.06.2023,29.06.2023,n,y,n
VH80545,23.05.2023,21.06.2023,n,n,n
VH80554,23.05.2023,22.06.2023,n,n,n
VH80555,23.05.2023,21.06.2023,n,n,n
VH80556,23.05.2023,22.06.2023,n,n,n
VH80557,23.05.2023,21.06.2023,n,n,n
VH80558,23.05.2023,22.06.2023,n,n,n
VH80559,23.05.2023,22.06.2023,n,n,n
VH80561,23.05.2023,22.06.2023,n,y,n
VH80562,06.06.2023,20.06.2023,n,y,n
VH80563,23.05.2023,21.06.2023,NA,NA,n
,,,,,
,,,,,
VH80564,23.05.2023,21.06.2023,n,n,n
VH80565,23.05.2023,21.06.2023,n,n,n
VH80566,23.05.2023,21.06.2023,n,n,n
VH80567,23.05.2023,21.06.2023,n,n,n
VH80568,23.05.2023,21.06.2023,n,n,n
VH80569,23.05.2023,22.06.2023,n,n,n
VH80570,23.05.2023,21.06.2023,n,n,n
VH80571,23.05.2023,22.06.2023,n,n,n
VH80572,23.05.2023,22.06.2023,n,n,n
VH80574,23.05.2023,22.06.2023,n,n,n
VH80575,23.05.2023,22.06.2023,n,n,n
VH80576,23.05.2023,22.06.2023,n,n,n
VH80577,23.05.2023,22.06.2023,n,y,n
VH80578,23.05.2023,22.06.2023,n,n,n
VH80579,23.05.2023,22.06.2023,n,n,n
VH80580,23.05.2023,22.06.2023,n,n,n
VH80581,23.05.2023,21.06.2023,n,n,n
VH80583,23.05.2023,22.06.2023,n,y,n
VH80584,23.05.2023,22.06.2023,n,n,n
VH80585,23.05.2023,21.06.2023,n,n,n
VH80586,06.06.2023,20.06.2023,n,y,n
VH80588,23.05.2023,21.06.2023,n,n,n
VH80589,23.05.2023,22.06.2023,n,n,n
,,,,,
,,,,,
,,,,,
,,,,,
VH80590,23.05.2023,22.06.2023,n,n,n
VH80591,23.05.2023,22.06.2023,n,n,n
VH80591,26.06.2023,29.06.2023,n,n,n
VH80647,NA,NA,n,n,n
VH80592,23.05.2023,22.06.2023,n,n,n
VH80593,23.05.2023,22.06.2023,n,n,n
VH80594,23.05.2023,21.06.2023,n,n,n
VH80595,06.06.2023,20.06.2023,n,n,n
VH80595,23.05.2023,22.06.2023,n,n,n
VH80596,23.05.2023,21.06.2023,n,n,n
VH80597,23.05.2023,22.06.2023,n,n,n
VH80599,06.06.2023,20.06.2023,n,n,n
VH80604,23.05.2023,21.06.2023,n,n,n
